timestamp,device_name,cpu_usage,memory_usage,disk_usage,cpu_power,total_power
2025-02-22 16:36:26,LAPTOP-CJQGQBGO,5.4,77.9,93.7,0.0,4.414217609939575
2025-02-22 16:36:27,LAPTOP-CJQGQBGO,0.0,77.9,93.7,0.7333333333333334,5.1475509432729085
2025-02-22 16:36:28,LAPTOP-CJQGQBGO,0.0,77.9,93.7,0.0,4.414217609939575
2025-02-22 16:36:29,LAPTOP-CJQGQBGO,0.0,77.9,93.7,0.0,4.414217609939575
2025-02-22 16:36:31,LAPTOP-CJQGQBGO,1.7,77.9,93.7,0.0,4.414217609939575
2025-02-22 16:36:32,LAPTOP-CJQGQBGO,0.0,77.9,93.7,0.0,4.414217609939575
2025-02-22 16:36:33,LAPTOP-CJQGQBGO,0.0,77.9,93.7,0.0,4.414217609939575
2025-02-22 16:36:34,LAPTOP-CJQGQBGO,1.8,77.9,93.7,0.6666666666666666,5.080884276606242
2025-02-22 16:36:36,LAPTOP-CJQGQBGO,7.7,77.9,93.7,2.033333333333333,6.447550943272908
2025-02-22 16:36:37,LAPTOP-CJQGQBGO,3.7,77.8,93.7,0.0,4.413921666297913
2025-02-22 16:36:38,LAPTOP-CJQGQBGO,0.0,78.0,93.7,0.7666666666666666,5.181180220247905
2025-02-22 16:36:39,LAPTOP-CJQGQBGO,0.0,78.0,93.7,3.033333333333333,7.448734717839558
2025-02-22 16:36:40,LAPTOP-CJQGQBGO,31.4,78.4,93.7,1.9,6.315697328147888
2025-02-22 16:36:42,LAPTOP-CJQGQBGO,0.0,78.4,93.7,0.0,4.415697328147888
2025-02-22 16:36:43,LAPTOP-CJQGQBGO,11.3,78.4,93.7,1.2666666666666666,5.682068051172893
2025-02-22 16:36:44,LAPTOP-CJQGQBGO,4.0,78.5,93.7,2.05,6.46599327178955
2025-02-22 16:36:45,LAPTOP-CJQGQBGO,3.8,78.5,93.7,2.0,6.415993271789551
2025-02-22 16:36:47,LAPTOP-CJQGQBGO,3.9,78.7,93.7,4.55,8.967177046356202
2025-02-22 16:36:48,LAPTOP-CJQGQBGO,1.8,79.1,93.7,13.733333333333334,18.151990097897848
2025-02-22 16:36:49,LAPTOP-CJQGQBGO,15.8,79.4,93.7,1.9,6.318656764564514
2025-02-22 16:36:50,LAPTOP-CJQGQBGO,13.5,79.4,93.7,5.1,9.518656764564515
2025-02-22 16:36:52,LAPTOP-CJQGQBGO,32.7,79.4,93.7,11.3,15.718656764564514
2025-02-22 16:36:53,LAPTOP-CJQGQBGO,10.0,79.6,93.7,4.1,8.519544595489503
2025-02-22 16:36:54,LAPTOP-CJQGQBGO,12.0,79.7,93.7,10.8,15.219544595489502
2025-02-22 16:36:55,LAPTOP-CJQGQBGO,7.4,80.0,93.7,0.0,4.420432426414489
2025-02-22 16:36:57,LAPTOP-CJQGQBGO,8.9,79.9,93.7,8.95,13.370136482772827
2025-02-22 16:36:58,LAPTOP-CJQGQBGO,47.8,79.9,93.7,4.7,9.120136482772828
2025-02-22 16:36:59,LAPTOP-CJQGQBGO,8.3,79.7,93.7,0.95,5.3692486518478395
2025-02-22 16:37:00,LAPTOP-CJQGQBGO,0.0,79.6,93.7,0.0,4.419248651847839
2025-02-22 16:37:02,LAPTOP-CJQGQBGO,3.4,79.6,93.7,0.0,4.419248651847839
2025-02-22 16:37:03,LAPTOP-CJQGQBGO,1.7,79.6,93.7,0.0,4.419248651847839
2025-02-22 16:37:04,LAPTOP-CJQGQBGO,1.8,79.6,93.7,0.0,4.418952708206177
2025-02-22 16:37:05,LAPTOP-CJQGQBGO,0.0,79.5,93.7,0.0,4.418952708206177
2025-02-22 16:37:07,LAPTOP-CJQGQBGO,1.9,79.5,93.7,0.6333333333333333,5.05228604153951
2025-02-22 16:37:08,LAPTOP-CJQGQBGO,0.0,79.5,93.7,0.0,4.418952708206177
2025-02-22 16:37:09,LAPTOP-CJQGQBGO,0.0,79.5,93.7,0.7333333333333334,5.15228604153951
2025-02-22 16:37:10,LAPTOP-CJQGQBGO,0.0,79.5,93.7,0.0,4.418952708206177
2025-02-22 16:37:11,LAPTOP-CJQGQBGO,0.0,79.5,93.7,0.7333333333333334,5.15228604153951
2025-02-22 16:37:13,LAPTOP-CJQGQBGO,2.0,79.5,93.7,2.033333333333333,6.4522860415395105
2025-02-22 16:37:14,LAPTOP-CJQGQBGO,1.8,79.6,93.7,0.0,4.419248651847839
2025-02-22 16:37:15,LAPTOP-CJQGQBGO,7.7,79.7,93.7,0.0,4.419544595489502
2025-02-22 16:37:16,LAPTOP-CJQGQBGO,5.5,79.7,93.7,0.0,4.419544595489502
2025-02-22 16:37:18,LAPTOP-CJQGQBGO,3.9,79.7,93.7,1.9666666666666668,6.386211262156169
2025-02-22 16:37:19,LAPTOP-CJQGQBGO,2.0,79.5,93.7,0.6666666666666666,5.085619374872843
2025-02-22 16:37:20,LAPTOP-CJQGQBGO,0.0,79.5,93.7,2.733333333333333,7.15228604153951
2025-02-22 16:37:21,LAPTOP-CJQGQBGO,0.0,79.5,93.7,3.05,7.468952708206176
2025-02-22 16:37:23,LAPTOP-CJQGQBGO,2.0,79.5,93.7,1.2666666666666666,5.685619374872843
2025-02-22 16:37:24,LAPTOP-CJQGQBGO,3.8,79.5,93.7,0.0,4.418952708206177
2025-02-22 16:37:25,LAPTOP-CJQGQBGO,1.8,79.4,93.7,0.0,4.418656764564514
